"group","id","message_count","initial_ransom","negotiated_ransom","paid","initial_ransom_num","negotiated_ransom_num","paid_bin","ransom_paid","ransom_paid_num","discount","discount_pct","discount_given"
"Akira","20230529",7,9e+05,NA,FALSE,9e+05,NA,0,NA,NA,0,NA,0
"Akira","20230606",13,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20230616",80,160000,75000,TRUE,160000,75000,1,75000,75000,0.53125,53.125,1
"Akira","20230628",5,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20230707",37,350000,280000,FALSE,350000,280000,0,NA,NA,0.2,NA,1
"Akira","20230719",4,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20230722",9,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20230727",72,250000,110000,TRUE,250000,110000,1,110000,110000,0.56,56,1
"Akira","20230728",5,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20230815",84,2400000,1e+06,TRUE,2400000,1e+06,1,1e+06,1e+06,0.583333333333333,58.3333333333333,1
"Akira","20230929",58,3e+05,250000,FALSE,3e+05,250000,0,NA,NA,0.166666666666667,NA,1
"Akira","20231112",58,250000,150000,TRUE,250000,150000,1,150000,150000,0.4,40,1
"Akira","20231115",81,250000,1e+05,TRUE,250000,1e+05,1,1e+05,1e+05,0.6,60,1
"Akira","20231209",112,180000,105000,TRUE,180000,105000,1,105000,105000,0.416666666666667,41.6666666666667,1
"Akira","20231217",67,250000,150000,TRUE,250000,150000,1,150000,150000,0.4,40,1
"Akira","20231227",74,1e+05,NA,FALSE,1e+05,NA,0,NA,NA,0,NA,0
"Akira","20240127",41,3e+05,NA,FALSE,3e+05,NA,0,NA,NA,0,NA,0
"Akira","20240129",70,275000,140000,TRUE,275000,140000,1,140000,140000,0.490909090909091,49.0909090909091,1
"Akira","20240131",75,4e+06,150000,TRUE,4e+06,150000,1,150000,150000,0.9625,96.25,1
"Akira","20240201",40,350000,120000,FALSE,350000,120000,0,NA,NA,0.657142857142857,NA,1
"Akira","20240301",43,350000,NA,FALSE,350000,NA,0,NA,NA,0,NA,0
"Akira","20240317",8,1e+07,NA,FALSE,1e+07,NA,0,NA,NA,0,NA,0
"Akira","20240329",65,2e+06,1075995,TRUE,2e+06,1075995,1,1075995,1075995,0.4620025,46.20025,1
"Akira","20240410",16,150000,NA,FALSE,150000,NA,0,NA,NA,0,NA,0
"Akira","20240424",70,3500000,5e+05,TRUE,3500000,5e+05,1,5e+05,5e+05,0.857142857142857,85.7142857142857,1
"Akira","20240509",170,1700000,225000,TRUE,1700000,225000,1,225000,225000,0.867647058823529,86.7647058823529,1
"Akira","20240531",55,690000,NA,FALSE,690000,NA,0,NA,NA,0,NA,0
"Akira","20240611",50,220000,90000,FALSE,220000,90000,0,NA,NA,0.590909090909091,NA,1
"Akira","20240618",53,4e+05,3e+05,TRUE,4e+05,3e+05,1,3e+05,3e+05,0.25,25,1
"Akira","20240620",7,NA,NA,FALSE,NA,NA,0,NA,NA,0,NA,0
"Akira","20240718",105,225000,1e+05,TRUE,225000,1e+05,1,1e+05,1e+05,0.555555555555556,55.5555555555556,1
