case_uid,source,event_date,victim_type,is_attempt,initial_ransom_eur,final_ransom_eur,paid,group,raas,backups_status,data_exfiltration,revenue_eur,cyber_insurance,ir_firm_involved,negotiation_attacker,negotiation_victim,negotiation_duration_days
C001,police,2022-12-30,company,0,4262,,0,Avaddon,1,recoverable,0,1075310,1,1,1,0,
C002,ir,2019-10-04,company,0,57255,33501,1,Akira,1,partial,0,4496915,0,0,1,1,17
C003,police,2019-01-21,company,0,46078,22553,1,Hive,1,partial,0,2437786,0,0,1,1,2
C004,ir,2021-10-18,company,0,34525,15015,0,Hive,1,unknown,1,3172915,1,0,1,1,18
C005,police,2019-12-04,company,0,656815,526003,1,Conti,1,unrecoverable,1,33961780,1,0,1,1,15
C006,police,2020-02-23,company,0,149337,52420,1,Conti,1,recoverable,1,9539820,0,0,1,1,9
C007,ir,2020-12-26,company,0,9953,,0,Babuk,1,recoverable,0,3041890,0,1,0,0,
C008,police,2021-05-13,company,0,116746,87609,0,REvil,0,partial,1,8917559,1,0,1,1,5
C009,ir,2020-07-10,company,0,17177,12116,1,Conti,1,unrecoverable,0,1775651,0,1,1,1,11
C010,police,2022-10-14,company,0,9837,8145,0,Avaddon,1,partial,1,2382912,0,1,1,1,1
C011,ir,2020-07-17,company,0,107640,,0,Avaddon,1,unrecoverable,1,7406536,1,0,1,0,
C012,police,2020-12-30,company,0,22463,,0,Avaddon,1,recoverable,0,1138697,1,1,1,0,
C013,ir,2019-05-24,company,0,9068,8070,1,Babuk,1,partial,0,1995823,0,0,1,1,4
C014,police,2020-04-17,company,0,40917,,1,Darkside,1,unrecoverable,1,8228897,1,0,1,0,
C015,police,2021-11-26,company,0,17776,,0,Avaddon,0,recoverable,0,2822277,0,1,0,0,
C016,ir,2019-04-14,company,0,49038,15486,1,LockBit,1,unrecoverable,0,3916163,0,0,1,1,3
C017,police,2020-02-02,company,0,138945,,0,Akira,1,recoverable,1,10413312,1,0,0,0,
C018,police,2020-03-13,company,0,26208,14515,1,Akira,1,partial,0,1438796,0,0,1,1,1
C019,ir,2020-04-21,company,0,91213,,0,Akira,0,partial,1,5998234,0,1,0,0,
C020,police,2022-07-03,company,0,23569,13150,1,Avaddon,1,unrecoverable,1,2306170,0,1,1,1,3
C021,ir,2022-11-17,company,0,8242,,0,Qilin,1,recoverable,0,1252925,0,1,0,0,
C022,ir,2020-02-04,company,0,25579,,1,Babuk,1,unrecoverable,1,13020096,0,0,0,0,
C023,ir,2019-11-10,company,0,3759,2205,1,BlackBasta,1,recoverable,0,2163501,0,1,1,1,5
C024,police,2021-04-02,company,0,21520,,1,Hive,1,recoverable,1,5930645,0,1,1,0,
C025,police,2021-03-01,company,0,40870,,0,Avaddon,0,partial,0,19409847,0,0,0,0,
C026,police,2020-12-04,company,0,19149,10730,1,BlackBasta,1,unrecoverable,1,1660425,1,1,1,1,12
C027,ir,2019-08-06,company,0,49852,,0,REvil,1,unrecoverable,1,6577020,1,1,1,0,
C028,police,2021-10-12,company,0,80495,71165,0,Hive,1,partial,1,5955922,0,0,1,1,2
C029,police,2022-07-15,company,0,92326,82083,1,Conti,1,unrecoverable,1,5072412,1,1,1,1,14
C030,police,2020-09-08,company,0,30574,11419,0,Darkside,1,recoverable,1,2932899,1,1,1,1,11
C031,police,2021-09-04,company,0,93448,42617,1,Conti,1,unrecoverable,0,5347507,0,0,1,1,13
C032,police,2020-01-31,company,0,13634,,0,REvil,1,partial,0,709664,0,1,0,0,
C033,police,2021-08-05,company,0,166948,,1,Babuk,0,unrecoverable,1,10408266,1,1,0,0,
C034,police,2020-10-19,company,0,140001,,0,Hive,1,recoverable,0,7214927,1,1,1,0,
C035,police,2022-12-16,company,0,196991,,0,Akira,0,recoverable,1,10369240,0,0,0,0,
C036,police,2022-02-23,company,0,21011,17428,0,Darkside,1,recoverable,1,2028116,1,1,1,1,8
C037,ir,2019-02-27,company,0,9825,,0,Conti,1,partial,1,4090151,1,1,1,0,
C038,ir,2022-09-15,company,0,63089,,0,Hive,1,partial,0,3310442,0,1,0,0,
C039,ir,2021-01-01,company,0,8346,4082,0,Avaddon,0,unrecoverable,0,868384,1,1,1,1,13
C040,ir,2021-03-08,company,0,26388,11437,0,BlackBasta,0,partial,1,1511774,1,1,1,1,1
C041,police,2019-04-15,company,0,1374,,0,Avaddon,0,recoverable,1,663691,1,0,0,0,
C042,police,2022-03-14,company,0,10018,5372,1,LockBit,1,unrecoverable,1,1795196,1,1,1,1,13
C043,ir,2021-02-09,company,0,122111,,1,Babuk,0,partial,0,10631131,1,1,1,0,
C044,ir,2021-02-02,company,0,68648,,1,LockBit,1,partial,1,3497358,1,1,1,0,
C045,police,2022-02-03,company,0,5787,,0,Akira,1,partial,1,595179,1,1,0,0,
C046,ir,2021-06-18,company,0,13778,,0,LockBit,1,partial,1,3092382,1,1,1,0,
C047,ir,2020-06-17,company,0,6171,,0,Darkside,1,unrecoverable,1,779112,0,1,1,0,
C048,police,2021-11-15,company,0,47229,27300,1,Babuk,1,unknown,0,2699203,0,1,1,1,15
C049,police,2021-10-27,company,0,118562,,0,Darkside,0,partial,1,7778305,1,0,1,0,
C050,ir,2019-05-06,company,0,17149,,0,Akira,1,partial,1,5235834,1,0,0,0,
